stem	class	module	level
iamax	complex	la_blas_aux	0
lsame	kindfree	la_blas_aux	0
xerbla	kindfree	la_blas_aux	0
xerbla_array	kindfree	la_blas_aux	0
cabs1	real	la_blas_aux	0
iamax	real	la_blas_aux	0
axpy	complex	la_blas_level1	1
copy	complex	la_blas_level1	1
dotc	complex	la_blas_level1	1
dotu	complex	la_blas_level1	1
drot	complex	la_blas_level1	1
dscal	complex	la_blas_level1	1
rotg	complex	la_blas_level1	1
scal	complex	la_blas_level1	1
swap	complex	la_blas_level1	1
sdsdot	kindfree	la_blas_level1	1
asum	real	la_blas_level1	1
axpy	real	la_blas_level1	1
copy	real	la_blas_level1	1
dot	real	la_blas_level1	1
nrm2	real	la_blas_level1	1
rot	real	la_blas_level1	1
rotg	real	la_blas_level1	1
rotm	real	la_blas_level1	1
rotmg	real	la_blas_level1	1
scal	real	la_blas_level1	1
sdot	real	la_blas_level1	1
swap	real	la_blas_level1	1
zasum	real	la_blas_level1	1
znrm2	real	la_blas_level1	1
gbmv	complex	la_blas_level2_ban	1
hbmv	complex	la_blas_level2_ban	1
gbmv	real	la_blas_level2_ban	1
gemv	complex	la_blas_level2_gen	1
gerc	complex	la_blas_level2_gen	1
geru	complex	la_blas_level2_gen	1
hemv	complex	la_blas_level2_gen	1
her	complex	la_blas_level2_gen	1
her2	complex	la_blas_level2_gen	1
gemv	real	la_blas_level2_gen	1
ger	real	la_blas_level2_gen	1
hpmv	complex	la_blas_level2_pac	1
hpr	complex	la_blas_level2_pac	1
hpr2	complex	la_blas_level2_pac	1
sbmv	real	la_blas_level2_pac	1
spmv	real	la_blas_level2_pac	1
spr	real	la_blas_level2_pac	1
spr2	real	la_blas_level2_pac	1
symv	real	la_blas_level2_sym	1
syr	real	la_blas_level2_sym	1
syr2	real	la_blas_level2_sym	1
tbmv	complex	la_blas_level2_tri	1
tbsv	complex	la_blas_level2_tri	1
tpmv	complex	la_blas_level2_tri	1
tpsv	complex	la_blas_level2_tri	1
trmv	complex	la_blas_level2_tri	1
trsv	complex	la_blas_level2_tri	1
tbmv	real	la_blas_level2_tri	1
tbsv	real	la_blas_level2_tri	1
tpmv	real	la_blas_level2_tri	1
tpsv	real	la_blas_level2_tri	1
trmv	real	la_blas_level2_tri	1
trsv	real	la_blas_level2_tri	1
gemm	complex	la_blas_level3_gen	1
hemm	complex	la_blas_level3_gen	1
her2k	complex	la_blas_level3_gen	1
herk	complex	la_blas_level3_gen	1
gemm	real	la_blas_level3_gen	1
symm	complex	la_blas_level3_sym	1
syr2k	complex	la_blas_level3_sym	1
syrk	complex	la_blas_level3_sym	1
symm	real	la_blas_level3_sym	1
syr2k	real	la_blas_level3_sym	1
syrk	real	la_blas_level3_sym	1
trmm	complex	la_blas_level3_tri	1
trsm	complex	la_blas_level3_tri	1
trmm	real	la_blas_level3_tri	1
trsm	real	la_blas_level3_tri	1
chla_transtype	kindfree	la_lapack_aux	1
ieeeck	kindfree	la_lapack_aux	1
iladiag	kindfree	la_lapack_aux	1
ilaenv	kindfree	la_lapack_aux	1
ilaenv2stage	kindfree	la_lapack_aux	1
ilalc	complex	la_lapack_aux	1
ilalc	real	la_lapack_aux	1
ilalr	complex	la_lapack_aux	1
ilalr	real	la_lapack_aux	1
ilaprec	kindfree	la_lapack_aux	1
ilatrans	kindfree	la_lapack_aux	1
ilauplo	kindfree	la_lapack_aux	1
imax1	complex	la_lapack_aux	1
iparam2stage	kindfree	la_lapack_aux	1
iparmq	kindfree	la_lapack_aux	1
lsamen	kindfree	la_lapack_aux	1
roundup_lwork	real	la_lapack_aux	1
selctg	complex	la_lapack_aux	1
selctg	real	la_lapack_aux	1
select	complex	la_lapack_aux	1
select	real	la_lapack_aux	1
laqsb	complex	la_lapack_auxiliary	1
rot	complex	la_lapack_auxiliary	1
labad	real	la_lapack_auxiliary	1
ladiv1	real	la_lapack_auxiliary	1
ladiv2	real	la_lapack_auxiliary	1
lamc3	real	la_lapack_auxiliary	1
lamch	real	la_lapack_auxiliary	1
laqsb	real	la_lapack_auxiliary	1
zsum1	real	la_lapack_auxiliary	1
lacp2	complex	la_lapack_blas_like_base	2
lacpy	complex	la_lapack_blas_like_base	2
lag2c	complex	la_lapack_blas_like_base	2
lag2w	complex	la_lapack_blas_like_base	2
larnv	complex	la_lapack_blas_like_base	2
laset	complex	la_lapack_blas_like_base	2
lat2c	complex	la_lapack_blas_like_base	2
tfttp	complex	la_lapack_blas_like_base	2
tfttr	complex	la_lapack_blas_like_base	2
tpttf	complex	la_lapack_blas_like_base	2
tpttr	complex	la_lapack_blas_like_base	2
trttf	complex	la_lapack_blas_like_base	2
trttp	complex	la_lapack_blas_like_base	2
lacpy	real	la_lapack_blas_like_base	2
lag2q	real	la_lapack_blas_like_base	2
lag2s	real	la_lapack_blas_like_base	2
larnv	real	la_lapack_blas_like_base	2
laruv	real	la_lapack_blas_like_base	2
laset	real	la_lapack_blas_like_base	2
lat2s	real	la_lapack_blas_like_base	2
tfttp	real	la_lapack_blas_like_base	2
tfttr	real	la_lapack_blas_like_base	2
tpttf	real	la_lapack_blas_like_base	2
tpttr	real	la_lapack_blas_like_base	2
trttf	real	la_lapack_blas_like_base	2
trttp	real	la_lapack_blas_like_base	2
drscl	complex	la_lapack_blas_like_l1	2
lacgv	complex	la_lapack_blas_like_l1	2
lassq	complex	la_lapack_blas_like_l1	2
lasrt	real	la_lapack_blas_like_l1	2
lassq	real	la_lapack_blas_like_l1	2
rscl	real	la_lapack_blas_like_l1	2
hfrk	complex	la_lapack_blas_like_l3	2
lacrm	complex	la_lapack_blas_like_l3	2
lagtm	complex	la_lapack_blas_like_l3	2
larcm	complex	la_lapack_blas_like_l3	2
tfsm	complex	la_lapack_blas_like_l3	2
lagtm	real	la_lapack_blas_like_l3	2
sfrk	real	la_lapack_blas_like_l3	2
tfsm	real	la_lapack_blas_like_l3	2
ladiv	complex	la_lapack_blas_like_scalar	2
isnan	real	la_lapack_blas_like_scalar	2
ladiv	real	la_lapack_blas_like_scalar	2
laisnan	real	la_lapack_blas_like_scalar	2
lapy2	real	la_lapack_blas_like_scalar	2
lapy3	real	la_lapack_blas_like_scalar	2
la_lin_berr	complex	la_lapack_solve_aux	2
lacn2	complex	la_lapack_solve_aux	2
lacon	complex	la_lapack_solve_aux	2
la_lin_berr	real	la_lapack_solve_aux	2
lacn2	real	la_lapack_solve_aux	2
lacon	real	la_lapack_solve_aux	2
la_gbamv	complex	la_lapack_blas_like_l2	3
la_geamv	complex	la_lapack_blas_like_l2	3
